111,"10""X1A L (H/K) Pulley""",1,490.00,50,245,"SKEngg.:300, Sale Prices:280",0,280,"2021-06-09 20:37:00","2021-06-09 20:36:47",5
112,"10""X1B H/K Pulley""",6,510.00,50,1530,"PreEngg./Sale Price:300",0,300,"2021-06-09 20:37:00","2021-06-09 20:36:47",5
113,"10""X1B PL Pulley""",11,500.00,50,2750,"Sale Price:300",0,300,"2021-06-09 20:37:00","2021-06-09 20:36:47",5
114,"10""X1C L Pulley""",1,730.00,50,365,"Sale Price:450",0,0,"2021-06-09 20:37:00","2021-06-09 20:36:47",5
115,"10""X2A L Pulley""",5,660.00,50,1650,"Sale Prices:425",0,400,"2021-06-09 20:37:00","2021-06-09 20:36:47",5
116,"10""X2B D/K H Pulley""",30,1210.00,50,18150,S.R.:700,,,"2021-06-09 20:37:00","2021-06-09 20:36:47",5
117,"10""X2B D/K(4"""") C-Sec. Pulley""",22,1406.00,50,15466,"SKEngg./PreEngg.:750, Sale Price:780",0,780,"2021-06-09 20:37:00","2021-06-09 20:36:47",5
118,"10""X2B D/K(4"""") P/C Pulley""",6,1160.00,50,3480,"SKI:700/720, Sale Price:720",0,700,"2021-06-09 20:37:00","2021-06-09 20:36:47",5
119,"10""X2B H/K Pulley""",15,940.00,50,7050,"Dilshad/Sale Price:520",0,520,"2021-06-09 20:37:00","2021-06-09 20:36:47",5
120,"10""X2B L Pulley""",8,880.00,50,3520,"SKEngg.480, Sale Prices:500",0,500,"2021-06-09 20:37:00","2021-06-09 20:36:47",5
121,"10""X2C D/K Pulley""",3,1560.00,50,2340,"Sale Price:900",0,900,"2021-06-09 20:37:00","2021-06-09 20:36:47",5
122,"10""X2C Solid Pulley""",1,1960.00,50,980,"Sale Price:1120",0,0,"2021-06-09 20:37:00","2021-06-09 20:36:47",5
123,"10""X3B D/K Pulley""",1,1500.00,50,750,"Sale Price:810",0,0,"2021-06-09 20:37:00","2021-06-09 20:36:47",5
124,"10""X3C D/K Pulley""",0,1980.00,50,0,"Sale Price:1170",0,1170,"2021-06-09 20:37:00","2021-06-09 20:36:47",5
125,"10""X4B D/K Pulley""",3,2000.00,50,3000,"Sale Price:1080",0,0,"2021-06-09 20:37:00","2021-06-09 20:36:47",5
126,"10""X4B Solid (Without Knob) Pulley""",1,4240.00,50,2120,S.R.:2400,0,0,"2021-06-09 20:37:00","2021-06-09 20:36:47",5
127,"10""x4C D/K Pulley""",2,2812.00,50,2812,S.R.:1720,,1720,"2021-06-09 20:37:00","2021-06-09 20:36:47",5
128,"10""X4C Solid Pulley""",3,3920.00,50,5880,"Sale Price:2240",0,0,"2021-06-09 20:37:00","2021-06-09 20:36:47",5
129,"100-120-13 Oil Seal",49,100.00,60,1960,S.R.:60,0,0,"2021-06-09 20:37:00","2021-06-09 20:36:47",5
130,"100-125-12 Oil Seal",8,103.00,60,329.6,S.R.:60,0,0,"2021-06-09 20:37:00","2021-06-09 20:36:47",5
131,"100-125-13 Oil Seal",7,103.00,60,288.4,S.R.:60,0,0,"2021-06-09 20:37:00","2021-06-09 20:36:47",5
132,"100-130-13 Oil Seal",2,110.00,60,88,S.R.:65,0,0,"2021-06-09 20:37:00","2021-06-09 20:36:47",5
133,"100-140-13 Oil Seal",3,120.00,60,144,S.R.:70,0,0,"2021-06-09 20:37:00","2021-06-09 20:36:47",5
134,"100-145-13 Oil Seal",10,133.00,60,532,S.R.:75,0,0,"2021-06-09 20:37:00","2021-06-09 20:36:47",5
135,"100-175-31 Oil Seal",18,27.00,60,194.4,S.R.:15,0,0,"2021-06-09 20:37:00","2021-06-09 20:36:47",5
